,start,end,ward,2_geo_location_of_busstop_latitude,2_geo_location_of_busstop_longitude,3_types_of_bus_stops_which_buses_stop_at_the_bus_stop_private_ksrtc_interstate_intercity_city_service,3_types_of_bus_stops_which_buses_stop_at_the_bus_stop_private_ksrtc_interstate_intercity_city_service_private_buses,3_types_of_bus_stops_which_buses_stop_at_the_bus_stop_private_ksrtc_interstate_intercity_city_service_ksrtc_long_distance,3_types_of_bus_stops_which_buses_stop_at_the_bus_stop_private_ksrtc_interstate_intercity_city_service_ksrtc_city_service,4_does_the_bus_stop_has_a_physical_structure_roof_and_structure,5_are_bus_stops_disabled_friendly_yes_no,6_how_many_people_can_sit_in_the_bus_stop_comfortably,7_what_is_the_roof_condition_of_bus_stops,8_is_there_a_separate_section_for_women_yes_no,9_is_there_any_advertisement_on_the_bus_stop_yes_no,10_are_there_any_political_advertisements_relating_to_political_figures_or_parties_at_the_bus_stop,11_end_destinations_from_the_bus_stop,12_distance_to_nearest_auto_stand_km,12_distance_to_nearest_bus_stop_km,12_distance_to_nearest_metro_station_km,15_distance_to_public_toilet_sulabh_comfort_stations_km,16_mode_of_payment_accepted_on_buses_in_general_from_the_bus_stop_upi_cash_both,16_mode_of_payment_accepted_on_buses_in_general_from_the_bus_stop_upi_cash_both_upi,16_mode_of_payment_accepted_on_buses_in_general_from_the_bus_stop_upi_cash_both_cash,16_mode_of_payment_accepted_on_buses_in_general_from_the_bus_stop_upi_cash_both_both,17_number_of_buses_passing_the_bus_stop_during_peak_hours,18_does_a_passenger_get_a_sear_in_morning_peak_hours_from_the_bus_stop,19_does_a_passenger_get_a_sear_in_evening_peak_hours_from_the_bus_stop,20_does_a_passenger_get_a_sear_in_non_peak_hours_from_the_bus_stop,21_do_you_have_shop_to_buy_food_and_water_general_store_or_other_local_alternatives,22_is_there_any_pharmacy_nearby,23_is_there_any_atm_nearby,24_are_there_lights_at_the_bus_stop_especially_working_during_the_night,25_dustbin_available_at_the_bus_stop,26_nature_sture_of_seating_in_the_bus_stop,27_cctv_coverage_of_bus_stops_from_nearby_shops_etc,28_language_for_information_at_the_bus_stop,28_language_for_information_at_the_bus_stop_english,28_language_for_information_at_the_bus_stop_malayalam,28_language_for_information_at_the_bus_stop_hindi,28_language_for_information_at_the_bus_stop_bengali,28_language_for_information_at_the_bus_stop_tamil,28_language_for_information_at_the_bus_stop_others,29_are_the_timings_of_the_buses_displayed_at_the_bus_stop,30_are_the_bus_routes_written_at_the_bus_stop,31_time_of_first_bus_from_the_stop,32_time_of_last_bus_from_the_stop,15_distance_to_public_toilet_sulabh_comfort_stations_m,id,uuid,submission_time,status,version,index,source_sheet,latitude,longitude,ward
20,23:24.3,51:28.8,40,10.0090524,76.303754,Private Buses KSRTC city service,1,0,1,Yes,,8,Good (High quality roof and aesthic),No,Yes,No,,0.1,0.5,0.35,,Both,0,0,1,20,No,No,Yes,Yes,Yes,Yes,Yes,No,Metal rod,Yes,English,1,0,0,0,0,0,No,No,2025-09-16 06:00:00+05:30,2025-09-16 21:30:00+05:30,0.35,558572568,86089d26-bcee-4c97-b33b-29d0327be394,9/14/2025 6:21,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,28,Sheet1,10.0090524,76.303754,40
21,32:19.9,51:38.7,40,10.00526,76.31284,Private Buses KSRTC Long distance KSRTC city service,1,1,1,Yes,,3,Average (Proper Roofing),No,No,No,,0.01,0.3,1.3,,Both,0,0,1,48,No,No,Yes,Yes,Yes,Yes,No,No,Stone,No,English,1,0,0,0,0,0,No,No,2025-09-16 06:30:00+05:30,2025-09-16 22:00:00+05:30,1.3,558572636,8d131a67-0b31-4d8d-8ccf-d55635223c8b,9/14/2025 6:21,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,29,Sheet1,10.00526,76.31284,40
22,21:29.8,51:46.9,41,10.01401,76.3117,Private Buses KSRTC Long distance KSRTC city service,1,1,1,Yes,,7,Poor (Broken/Leaking/Rusted Roofs),No,Yes,Yes,,0.05,0.1,1.2,,Both,0,0,1,17,No,No,Yes,Yes,No,No,No,No,Marble,No,English,1,0,0,0,0,0,No,No,2025-09-16 05:00:00+05:30,2025-09-16 21:00:00+05:30,1.2,558572672,aefbaaf8-0a94-4ea9-97e6-17525481586b,9/14/2025 6:21,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,30,Sheet1,10.01401,76.3117,41
23,11:26.9,51:53.1,40,10.0083181,76.3122378,KSRTC Long distance,0,1,0,Yes,,10,Average (Proper Roofing),No,No,No,,0.3,0.3,1,,Both,0,0,1,4,Yes,Yes,Yes,No,Yes,No,No,No,Metal rod,No,English,1,0,0,0,0,0,No,No,2025-09-16 06:30:00+05:30,2025-09-16 21:00:00+05:30,1,558572710,b7562d24-6ef0-45b8-88fb-2c792db79aab,9/14/2025 6:21,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,31,Sheet1,10.0083181,76.3122378,40
24,25:25.1,52:05.5,37,10.03012,76.31104,Private Buses KSRTC Long distance KSRTC city service,1,1,1,Yes,,12,Average (Proper Roofing),No,No,No,,0.5,0.4,0.75,,Both,0,0,1,48,No,No,No,Yes,Yes,Yes,No,Yes,Metal rod,Yes,English,1,0,0,0,0,0,No,No,2025-09-16 06:30:00+05:30,2025-09-16 21:00:00+05:30,0.75,558572784,1db17b7b-f83d-476c-9cc4-9088fb25a4e2,9/14/2025 6:22,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,32,Sheet1,10.03012,76.31104,37
25,34:41.1,52:11.3,37,10.02419023,76.30788967,KSRTC Long distance,0,1,0,Yes,,15,Good (High quality roof and aesthic),No,Yes,No,,0.1,0.2,0.2,,Both,0,0,1,38,No,No,Yes,Yes,Yes,Yes,Yes,No,Metal rod,No,English,1,0,0,0,0,0,No,No,2025-09-16 06:30:00+05:30,2025-09-16 22:30:00+05:30,0.2,558572837,89f58453-c772-4b62-af0a-296333ba60d0,9/14/2025 6:22,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,33,Sheet1,10.02419023,76.30788967,37
26,45:45.0,52:21.0,37,10.0205329,76.3056895,Private Buses KSRTC Long distance KSRTC city service,1,1,1,Yes,,15,Average (Proper Roofing),No,Yes,No,,0.05,0.4,0.56,,Both,0,0,1,48,No,No,No,Yes,Yes,Yes,No,No,Metal rod,No,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 06:30:00+05:30,2025-09-16 22:30:00+05:30,0.56,558572908,4a51d72d-6b38-425e-bb34-ac5cd0315dd1,9/14/2025 6:22,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,34,Sheet1,10.0205329,76.3056895,37
27,57:15.1,52:25.8,37,10.018377,76.3041425,Private Buses KSRTC city service,1,0,1,Yes,,15,Average (Proper Roofing),No,Yes,No,,0.36,0.37,0.3,,Both,0,0,1,48,No,No,Yes,Yes,Yes,Yes,Yes,No,Metal rod,Yes,English,1,0,0,0,0,0,No,No,2025-09-16 06:30:00+05:30,2025-09-16 22:00:00+05:30,0.3,558572932,1a64e424-8e90-4d5d-ba92-0fcac4a2ceb3,9/14/2025 6:22,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,35,Sheet1,10.018377,76.3041425,37
28,03:01.9,52:34.4,37,10.0155603,76.302433,Private Buses KSRTC Long distance KSRTC city service,1,1,1,Yes,,10,Average (Proper Roofing),No,Yes,No,,0.3,0.3,0.05,,Both,0,0,1,48,No,No,No,Yes,Yes,Yes,Yes,No,Metal rod,Yes,English,1,0,0,0,0,0,No,No,2025-09-16 06:30:00+05:30,2025-09-16 22:00:00+05:30,0.05,558573007,e874d0f6-784d-43c3-a09a-afbe4376f8a9,9/14/2025 6:22,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,36,Sheet1,10.0155603,76.302433,37
29,11:05.1,52:44.3,37,10.0165482,76.3015592,Private Buses KSRTC city service,1,0,1,Yes,,8,Good (High quality roof and aesthic),No,Yes,Yes,,0.05,0.15,0.1,,Both,0,0,1,48,No,No,No,Yes,Yes,Yes,Yes,No,Bench,Yes,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 06:30:00+05:30,2025-09-16 21:00:00+05:30,0.1,558573086,8b5f633b-f24e-465b-867b-61a106e027e7,9/14/2025 6:22,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,37,Sheet1,10.0165482,76.3015592,37
